"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Rost%"
"Anthony Molina","COL","RP","21.8","15","0","0","1","4.81","1.43","12","24","7","3","19","1","1","0%"
"Anthony Veneziano","MIA","RP","51.1","42","0","0","7","4.50","1.41","26","53","19","7","44","2","3","0%"
"Darren McCaughan","MIN","SP,RP","23.5","18","0","0","0","5.42","1.45","14","26","8","5","6","1","1","0%"
"Jared Shuster","CWS","RP","54.1","41","0","0","2","4.69","1.41","28","55","22","8","39","2","3","0%"
"Owen White","CWS","SP,RP","14.6","11","0","0","1","5.05","1.48","8","15","6","2","13","0","1","0%"
"Eduardo Salazar","WSH","RP","48.8","37","0","0","6","4.50","1.44","24","51","20","5","44","2","3","0%"
"Jeff Criswell","COL","RP","23.0","25","0","0","0","5.46","1.57","14","25","11","4","16","1","1","0%"
"Victor Mederos","LAA","SP","23.7","18","0","0","1","5.05","1.52","13","25","11","3","21","1","2","0%"
"Joan Adon","WSH","SP,RP","19.3","15","0","0","0","5.55","1.59","12","20","10","3","12","1","1","0%"
"Kai-Wei Teng","SF","SP,RP","16.1","14","0","0","0","5.33","1.61","10","17","9","2","10","1","1","0%"
"Yunior Marte","","RP","29.5","27","0","1","1","4.94","1.50","16","30","14","4","25","1","1","0%"
"Lucas Gilbreath","COL","RP","42.8","39","0","0","2","4.91","1.54","23","44","22","5","41","2","2","0%"
"Evan Justice","COL","RP","34.8","33","0","0","1","5.31","1.68","21","35","24","4","34","1","2","0%"
"Adam Oller","","SP","34.0","28","0","0","0","5.51","1.53","21","36","16","6","12","1","3","0%"
"Kyle Muller","","RP","52.2","42","0","0","2","5.10","1.48","30","56","21","9","13","2","3","0%"
"Carlos Vargas","SEA","RP","43.4","37","0","0","3","3.96","1.36","19","42","17","5","42","2","2","0%"
"Hagen Danner","SEA","RP","23.8","24","0","0","1","3.86","1.25","10","21","8","3","24","1","1","0%"
"Jack Dashwood","LAA","","37.2","34","0","0","2","4.44","1.33","18","37","13","6","36","2","2","0%"
"Mike Baumann","","RP","38.3","37","0","0","1","4.40","1.39","19","35","18","4","33","2","1","0%"
"Austin Adams","BOS","RP","26.1","31","0","0","2","4.30","1.36","12","22","13","3","27","1","1","0%"
"Luis Gonzalez","BAL","","28.6","27","0","0","1","4.43","1.34","14","28","10","4","28","1","1","0%"
"Jake Bird","COL","RP","59.1","50","1","1","8","4.61","1.47","30","62","25","7","54","2","4","0%"
"Matt Krook","ATH","RP","16.0","16","0","0","1","4.21","1.45","7","14","9","2","16","1","1","0%"
"Bradgley Rodriguez","SD","","22.5","21","0","0","1","4.44","1.42","11","21","11","3","22","1","1","0%"
"Braydon Fisher","TOR","RP","18.0","18","0","0","1","4.50","1.45","9","16","10","2","18","1","1","0%"
